calibre_link-1|Chapter 990
calibre_link-36|Chapter 1025: Tracing the Lost Dao Stone
calibre_link-37|Chapter 1026: The Progenitor's Destiny
calibre_link-38|Chapter 1027: The Blood-Colored Secret of Chaoyuan
calibre_link-39|Chapter 1028: Sun Gazing for Longevity
calibre_link-40|Chapter 1029: The Way of Heaven is Twisted by Deception
calibre_link-41|Chapter 1030: Instantaneous Ascension and Sealing the Profound
calibre_link-42|Chapter 1031: Cloudy Sea’s Anomalies Explode
calibre_link-43|Chapter 1032: The Weak Devouring the Strong
calibre_link-44|Chapter 1033: A Righteous Duel
calibre_link-45|Chapter 1034
calibre_link-46|Chapter 1035
calibre_link-47|Chapter 1036: Mountains and Rivers Enter the Spirit Wood
calibre_link-48|Chapter 1037: The Mustard Seed Conceals the Tribulation Eradication
calibre_link-49|Chapter 1038: The Seventy-Two Labyrinths
calibre_link-50|Chapter 1039: Tribulation Eradication and Destruction Power
calibre_link-51|Chapter 1040: Secrets of the Tribulation Eradication Tome
calibre_link-52|Chapter 1041: Dual Cultivation of Yin and Yang
calibre_link-53|Chapter 1042: Comprehending New Methods for World Destruction
calibre_link-54|Chapter 1043: Heavenly Profound Mirror's Flaw
calibre_link-55|Chapter 1044: Using Pills to Mend the Heavens' Defect
calibre_link-56|Chapter 1045: Mirror Reflects Heaven and Earth
calibre_link-57|Chapter 1046: Trapped Like a Turtle in a Jar Again
calibre_link-58|Chapter 1047: Deception and Misdirection
calibre_link-59|Chapter 1048: Five Years of Transformations
calibre_link-60|Chapter 1049: A Defecting Doctrine Transmitter
calibre_link-61|Chapter 1050: Grandmaster of Enlightenment Technique
calibre_link-62|Chapter 1051: The Sacrifice of King Xuan Tian
calibre_link-63|Chapter 1052: A Glimmer of Hope in the Ghost Prison
calibre_link-64|Chapter 1053: The Converging Law Preachers
calibre_link-65|Chapter 1054: The Shocking Truth
calibre_link-66|Chapter 1055: United Exorcism of Evils
calibre_link-67|Chapter 1056: Oath of the Law Transmitter
calibre_link-68|Chapter 1057: Celestial Sun Immortal Battle Puppet
calibre_link-69|Chapter 1058: Mutated Spiritual Energy
calibre_link-70|Chapter 1059: The Heavenly King is like a nobody.
calibre_link-71|Chapter 1060: The Counterattack Finally Begins
calibre_link-72|Chapter 1061: Suppressing the Desolation with Three Parts of Strength
calibre_link-73|Chapter 1062: The Thousand and Fifty-Seventh Palm: Rehearsal for World Destruction
calibre_link-74|Chapter 1063: Dao Yi Devours Heaven and Earth
calibre_link-75|Chapter 1064: The Golden Sword of the Immortal Alliance Emerges
calibre_link-76|Chapter 1065: The World-Destroying Black Tide Rises
calibre_link-77|Chapter 1066: The Bug Dies, The Aura Persists
calibre_link-78|Chapter 1067: Relying on Grievance and Malevolence to Grow
calibre_link-79|Chapter 1068: Rebirth Stabilizes the Dangerous Situation
calibre_link-80|Chapter 1069: The Earth Vein is Troubled Again
calibre_link-81|Chapter 1070: The Plan Succeeds and Finally Appears
calibre_link-82|Chapter 1071: No Regrets
calibre_link-83|Chapter 1072: How Can Oaths Be Easily Changed
calibre_link-84|Chapter 1073: Xuanhuang Great Heavenly Venerate
calibre_link-85|Chapter 1074: World's Marvelous Creation
calibre_link-86|Chapter 1075: The Mystery of the Fallen Immortal Is Finally Solved
calibre_link-87|Chapter 1076: Suddenly Returning to the Dreamland
calibre_link-88|Chapter 1077: Plan Breaks the First Act
calibre_link-89|Chapter 1078: Xuanhuang Fated Bird
calibre_link-90|Chapter 1079: The Truth of the Misunderstanding
calibre_link-91|Chapter 1080: True Immortal Rift World Strength
calibre_link-92|Chapter 1081: The Only Refuge
calibre_link-93|Chapter 1082: Unifying the Beast Taming Sect
calibre_link-94|Chapter 1083: Sword Test for Mr. Bai
calibre_link-95|Chapter 1084: Victory Through The Sword Of Life
calibre_link-96|Chapter 1085: The Mystery of the Ancient Immortal Artifact
calibre_link-97|Chapter 1086: The Heavenly Pivot Sect's Secret Vault
calibre_link-98|Chapter 1087: Edict from the Immortal Realm
calibre_link-99|Chapter 1088: The Outer Void of Xuanhuang
calibre_link-100|Chapter 1089: Now Leaping the High Wall
calibre_link-101|Chapter 1090: A Thousand Years Later, Xu Ke
calibre_link-102|Chapter 1091: The Sir Wants to Save the World
calibre_link-103|Chapter 1092: Heavenly Dao Goes Mad
calibre_link-104|Chapter 1093: News of Mystic Dharma King
calibre_link-105|Chapter 1094: Array of the Vengeful Glutton
calibre_link-106|Chapter 1095: The Dark Devours the Dharma King
calibre_link-107|Chapter 1096: Legends of Creation
calibre_link-108|Chapter 1097: A Journey into the Unknown in a Foreign Land
calibre_link-109|Chapter 1098: The Tides of Darkness Surge
calibre_link-110|Chapter 1099: Stealing Darkness, Seeking Survival
calibre_link-111|Chapter 1100: An Old Acquaintance as a Celestial Puppet
calibre_link-112|Chapter 1101: Scheming Against a True Immortal in the Dark
calibre_link-113|Chapter 1102: All Essences Gathered
calibre_link-114|Chapter 1103: The Xuanhuang River of Rebirth
calibre_link-115|Chapter 1104: Heavenly Beings and Mortals Are Fundamentally Different
calibre_link-116|Chapter 1105: The Cycle of Xuanhuang's Destruction and Rebirth
calibre_link-117|Chapter 1106: Humans Go Mad for True Immortals
calibre_link-118|Chapter 1107: Scheming to Disrupt the World
calibre_link-119|Chapter 1108: Alien Star Falls to Xuanhuang
calibre_link-120|Chapter 1109: A Scheme Against a True Immortal in the Dark
calibre_link-121|Chapter 1110: Life and Death Reveal the Heavenly Venerate
calibre_link-122|Chapter 1111: Quietly Setting a Trap
calibre_link-123|Chapter 1112: Heavenly Venerate's Annihilation Strategy
calibre_link-124|Chapter 1113: Hidden Alone in the Dark Prison
calibre_link-125|Chapter 1114: The Battle of the Spirit Wood Begins
calibre_link-126|Chapter 1115: Defeating the Immortal Alliance with Laughter
calibre_link-127|Chapter 1116: Strategic Transfer
calibre_link-128|Chapter 1117: Revenge is Certain
calibre_link-129|Chapter 1118: The Heavenly Venerate's Puppet Strings
calibre_link-130|Chapter 1119: Battle Between Two Heavenly Venerables
calibre_link-131|Chapter 1120: True Immortal's Faithful Disciple
calibre_link-132|Chapter 1121: Immortal Alliance Overthrown In Prison
calibre_link-133|Chapter 1122: The Great Array of All Realms
calibre_link-134|Chapter 1123: Myriad Spirits Mastering True Immortal
calibre_link-135|Chapter 1124: The Blood-Red Great Array Rises
calibre_link-136|Chapter 1125: Crossing the Tribulation to Save Oneself
calibre_link-137|Chapter 1126: Still Truly Before the Immortal
calibre_link-138|Chapter 1127: Immortal Power Turns to Nothingness
calibre_link-139|Chapter 1128: Heavenly Emperor Qi as Anchor
calibre_link-140|Chapter 1129: The Meaning of the Anchor Point
calibre_link-141|Chapter 1130: Inferior Version of the Sky Patrol Arrow
calibre_link-142|Chapter 1131: Great Xuan Conquers Myriad Realms
calibre_link-143|Chapter 1132: Furnace of Fortune Transformation
calibre_link-144|Chapter 1133: Dark Faith Power
calibre_link-145|Chapter 1134: The Change of Divine Transformation
calibre_link-146|Chapter 1135: Six Lives of Immortal Power Expulsion
calibre_link-147|Chapter 1136: Heavenly Doctor Transmits Dharma Mystery (Combined Chapter)
calibre_link-148|Chapter 1137: The Sacred Dynasty Displays Its Power
calibre_link-149|Chapter 1138: Thermal Death and Ice Seal Transformation
calibre_link-150|Chapter 1139: Sun Family's Last Resort
calibre_link-151|Chapter 1140: Childhood Dharma Transmission Statue
calibre_link-152|Chapter 1141: Time Flows Through Gaps
calibre_link-153|Chapter 1142: The Law of Deduction Never Rests
calibre_link-154|Chapter 1143: The Stars of Xuanhuang Return
calibre_link-155|Chapter 1144: Crossing the Past and Present
calibre_link-156|Chapter 1145: Transmitting the Dharma, Old Acquaintance
calibre_link-157|Chapter 1146: Young Master Qingxuan of the Business World
calibre_link-158|Chapter 1147: Suppressing Demonic Sound with a Single Sword
calibre_link-159|Chapter 1148: Alone, Destroying the Demon Tide
calibre_link-160|Chapter 1149: Annihilation Destroys the Pustule
calibre_link-161|Chapter 1150: Yellow Rebirth Technique
calibre_link-162|Chapter 1151: Destroying Worlds Leads to the True Culprit
calibre_link-163|Chapter 1152: Reshaping the World with One Hand
calibre_link-164|Chapter 1153: Immortal Heart Falls to the Mortal World
calibre_link-165|Chapter 1154: Rebuilding Foundation Changes
calibre_link-166|Chapter 1155: Burying the Past, Opening a New Path
calibre_link-167|Chapter 1156: True Foundation Building Explanation
calibre_link-168|Chapter 1157: A Different Kind of Profound Heavenly Artifact
calibre_link-169|Chapter 1158: Secret Art of Devouring Heaven Profound
calibre_link-170|Chapter 1159: Immeasurable Mirror of Immortality
calibre_link-171|Chapter 1160: Reading Heart Heavenly Profound Mirror
calibre_link-172|Chapter 1161: Pointing the Sword at the Fishing Pond
calibre_link-173|Chapter 1162: New Xuanhuang World
calibre_link-174|Chapter 1163: Three Words Deter Longevity
calibre_link-175|Chapter 1164: Heaven and Earth Overturned with One Hand
calibre_link-176|Chapter 1165: Madman Grinds His Saber at Night
calibre_link-177|Chapter 1166: Mirror People Encounter and Fight
calibre_link-178|Chapter 1167: Primordial Profound Spirit Array
calibre_link-179|Chapter 1168: Silver Needles Fix the Derivation Method
calibre_link-180|Chapter 1169: Five Elements Heavenly Transformation
calibre_link-181|Chapter 1170: Spaceship Linking the Worlds
calibre_link-182|Chapter 1171: Who Decides Right or Wrong
calibre_link-183|Chapter 1172: Death Thought Yin-Yang Pearl
calibre_link-184|Chapter 1173: The Undying Great Vow Body
calibre_link-185|Chapter 1174: The Heavenly Venerable Suddenly Transmits a Message
calibre_link-186|Chapter 1175: Two Immortals in the Sea of Stars
calibre_link-187|Chapter 1176: Intentions of Deep Space Travel
calibre_link-188|Chapter 1177: Crossing the Dust out of Xuanhuang
calibre_link-189|Chapter 1178: White Day Sword Star Appears
calibre_link-190|Chapter 1179: Different Time Inside and Outside
calibre_link-191|Chapter 1180: Wanderer of the Star Sea
calibre_link-192|Chapter 1181: Reincarnating True Immortal Script
calibre_link-193|Chapter 1182: Survivors of Civilization
calibre_link-194|Chapter 1183: The Sea of Relics Hides Mysteries
calibre_link-195|Chapter 1184: The Origin Power of Immortality
calibre_link-196|Chapter 1185: Dark Gold Three-Eyed Skull
calibre_link-197|Chapter 1186: Destroying Souls Invisibly
calibre_link-198|Chapter 1187: Sneaking into the Immortal Ship Alone
calibre_link-199|Chapter 1188: The Immortal Boat Splits in Two
calibre_link-200|Chapter 1189: Hunyuan Golden Elixir Formed (Combined Chapter)
calibre_link-201|Chapter 1190: The Sacred Master Transmitted the Dao
calibre_link-202|Chapter 1191: Arranging the False Immortal Net
calibre_link-203|Chapter 1192: The Soul Returns Home After a Thousand Years
calibre_link-204|Chapter 1193: Sudden Change of Fate
calibre_link-205|Chapter 1194: Tradition of the Immortal Realm's Yan Tian
calibre_link-206|Chapter 1195: Dao Transformation Returns to Stone Mother
calibre_link-207|Chapter 1196: A Dream Lasts a Thousand Years
calibre_link-208|Chapter 1197: Heaven and Earth Overturned by a Single Thought
calibre_link-209|Chapter 1198: Sinner of the Xuanhuang Realm
calibre_link-210|Chapter 1199: Xuanhuang's Tribulation Passer
calibre_link-211|Chapter 1200: No One Can Turn the Tide
calibre_link-212|Chapter 1201: The Future of Dao Dissolution
calibre_link-213|Chapter 1202: Chief of the Law Protection Hall
calibre_link-214|Chapter 1203: A Secret Meeting in the Sea of Stars
calibre_link-215|Chapter 1204: Heavenly Cripple and Earthly Defect Sea
calibre_link-216|Chapter 1205: Breaking Through the Star Sea by Force
calibre_link-217|Chapter 1206: Ancient Immeasurable Obscured
calibre_link-218|Chapter 1207: Immortal Disaster Wind Tribulation Appears
calibre_link-219|Chapter 1208: Hidden Dangers in the Black and Yellow Realm
calibre_link-220|Chapter 1209: The Immortal Sect Hidden Underground
calibre_link-221|Chapter 1210: Bone of the Archmage
calibre_link-222|Chapter 1211: Source of Immortal Disaster
calibre_link-223|Chapter 1212: Leading Disaster to the Immortal Calamity
calibre_link-224|Chapter 1213: High Pressure of the Immortal Alliance
calibre_link-225|Chapter 1214: Purple Qi Enters the Starry Sky
calibre_link-226|Chapter 1215: Washing the Dark Sea
calibre_link-227|Chapter 1216: The Truth of the Floating Void Formation
calibre_link-228|Chapter 1217: Floating Bridge Within Another Ring
calibre_link-229|Chapter 1218: The Holy Emperor Receives His Mandate
calibre_link-230|Chapter 1219: Ink Flame Melts Heaven and Sun
calibre_link-231|Chapter 1220: The Fish is Finally Caught
calibre_link-232|Chapter 1221: Divine Object Outside the Great Wall
calibre_link-233|Chapter 1222: Sun Family Welcoming the Holy Fetus
calibre_link-234|Chapter 1223: The Sacred Dynasty's Shock
calibre_link-235|Chapter 1224: The Heaven-Defying Invisible Net
calibre_link-236|Chapter 1225: Immortal Boat Trapped and Seeking Survival
calibre_link-237|Chapter 1226: New Laws of the Darkest Sea
calibre_link-238|Chapter 1227: I Enter the True Immortal Path
calibre_link-239|Chapter 1228: Outsider on the Immortal Boat
calibre_link-240|Chapter 1229: All Heavenly Talents Become Pills
calibre_link-241|Chapter 1230: Body Absorbing the World's Evil Thoughts
calibre_link-242|Chapter 1231: Array Thought Swallows Congyun Sea
calibre_link-243|Chapter 1232: Clear Wind Nowhere
calibre_link-244|Chapter 1233: Heavenly Dao Grants Great Strength
calibre_link-245|Chapter 1234: Ink Kill Breaks the Shadow Trail
calibre_link-246|Chapter 1235: The Crimson and Green See Xu Ke
calibre_link-247|Chapter 1236: Good and Evil Finally Meet
calibre_link-248|Chapter 1237: Borrowing Luck to Devour the Heavens
calibre_link-249|Chapter 1238: Great Heavenly Venerate Immortal Body
calibre_link-250|Chapter 1239: Source Power Sealing Immortal Disaster
calibre_link-251|Chapter 1240: Where the Rainbow Light Disappears
calibre_link-252|Chapter 1241: Cat Treasure Double Change
calibre_link-253|Chapter 1242: The Heavenly Dao as Nourishment
calibre_link-254|Chapter 1243: Drawing the Sword Towards Ruomu
calibre_link-255|Chapter 1244: Life and Death Undecided
calibre_link-256|Chapter 1245: Subduing Ruomu with Reason
calibre_link-257|Chapter 1246: Fruit Tree Genesis
calibre_link-258|Chapter 1247: Insistence on Exploring the Star Sea
calibre_link-259|Chapter 1248: Reversing the Xuanhuang Principle
calibre_link-260|Chapter 1249: Mr. Bai's Gift
calibre_link-261|Chapter 1250: Stone Slab Falls into the Pond
calibre_link-262|Chapter 1251: The Holy Emperor Crosses the Tribulation
calibre_link-263|Chapter 1252: The Truth of Transmission
calibre_link-264|Chapter 1253: Clear Guanshi Divine Eye
calibre_link-265|Chapter 1254: Rift Hides Dark Power
calibre_link-266|Chapter 1255: Sun Family Hedao Fetus
calibre_link-267|Chapter 1256: The News of the Sky Sword Appears
calibre_link-268|Chapter 1257: Stone Mother Returns Beyond the Stars
calibre_link-269|Chapter 1258: Flowing Crystals Lead to Disputes
calibre_link-270|Chapter 1259: One Person Becomes an Army
calibre_link-271|Chapter 1260: Sword Pointing at the Ten Thousand Immortals Alliance
calibre_link-272|Chapter 1261: Cat Treasure Triple Change
calibre_link-273|Chapter 1262: Origin of the Star Sea
calibre_link-274|Chapter 1263: Establishing the Rightful Succession of Xuanhuang
calibre_link-275|Chapter 1264: Boundless Peeking and World Shattering
calibre_link-276|Chapter 1265: Prolegomenon to Xuanhuang Island
calibre_link-277|Chapter 1266: Stealing Dark Power
calibre_link-278|Chapter 1267: Reencountering the True Immortal Script
calibre_link-279|Chapter 1268: The Power of the Failed Immortal
calibre_link-280|Chapter 1269: Immortal Fold Array
calibre_link-281|Chapter 1270: Shaking Uniqueness
calibre_link-282|Chapter 1271: True when False, False when True
calibre_link-283|Chapter 1272: Fabricating the Law Derivation Jue
calibre_link-284|Chapter 1273: Yan Fajue's Hometown
calibre_link-285|Chapter 1274: Heavenly Venerate's Heaven and Earth Soul
calibre_link-286|Chapter 1275: The Scenery of the Immortal Realm in the Past
calibre_link-287|Chapter 1276: Arrest Mo Ruibin
calibre_link-288|Chapter 1277: The Dark Sea Hides a True Immortal
calibre_link-289|Chapter 1278: Destroying the World to Survive
calibre_link-290|Chapter 1279: Ants Who Harmonize With The Way Die
calibre_link-291|Chapter 1280: Blue Feather Heavenly Capital Secret
calibre_link-292|Chapter 1281: Reunion in the Sea of Stars
calibre_link-293|Chapter 1282: Secret Treasure of a Thousand Fables
calibre_link-294|Chapter 1283: First Trial of the Spiritual Void Array
calibre_link-295|Chapter 1284: The Great Awakening of Qi Enlightenment (7K)
calibre_link-296|Chapter 1285: Fifty Years Old to Pass on the Law
calibre_link-297|Chapter 1286: The Holy Emperor Establishes New Laws
calibre_link-298|Chapter 1287: Strange Change in the Sea of Stars Begins
calibre_link-299|Chapter 1288: Immortal Artifact Connects Two Realms
calibre_link-300|Chapter 1289: Grand Wish Ascension Method
calibre_link-301|Chapter 1290: The Holy Emperor Suddenly Realizes
calibre_link-302|Sun Tianci immediately cast a spell, and with the omnipresent blessing of Heaven and Earth, its power indeed increased significantly.Chapter 1285
calibre_link-303|Chapter 1291: Lingering Thoughts and Hidden Souls
calibre_link-304|Chapter 1292: Da Qi Ling Huang Xuan (7K)
calibre_link-305|Chapter 1293: Needle Point Against Awn
calibre_link-306|Chapter 1294: The Sacred Emperor Awakens His Lingering Thoughts
calibre_link-307|Chapter 1295: The Shadow of the Dao of Contention to Prove Immortality
calibre_link-308|Chapter 1296: Preaching to Fight the Saint Emperor
calibre_link-309|Chapter 1297: Holy Transmission United Against a Common Enemy
calibre_link-310|Chapter 1298: Star Sea Melee
calibre_link-311|Chapter 1299: Immortals Descend Upon All Things Void
calibre_link-312|Chapter 1300: Golden Needles Reverse Xuanhuang
calibre_link-313|Chapter 1301: Xuanhuang Wind Disaster
calibre_link-314|Chapter 1302: Return to the Void and Finally Return to the True
calibre_link-315|Chapter 1303: Looking Back and Reviewing
calibre_link-316|Chapter 1304: Still Really Changed
calibre_link-317|            Chapter 1305
calibre_link-318|Chapter 1305: White Circle Falls to the Mortal World
calibre_link-319|Chapter 1306: The Changing Realm Between Immortals and Mortals
calibre_link-320|Chapter 1307: The Way of the Star Sea Gift
calibre_link-321|Chapter 1308: The First Change in the Xuanhuang Realm
calibre_link-322|Chapter 1309: First Encounter in the Land of Harmony
calibre_link-323|Chapter 1310: Demonic Beasts Secretly Swallow Spirits
calibre_link-324|Chapter 1311 (Continued)
calibre_link-325|Chapter 1312: Immortal and Mortal Miasma Exterminates Immortals
calibre_link-326|Chapter 1313: The Great Formation of Floating Crossing
calibre_link-327|Chapter 1314: Memory of Ji Yuzhen
calibre_link-328|Chapter 1315: The Law King of Xuan Tian Sect
calibre_link-329|Within the seven-colored arc, under a clear sky for thousands of miles, a profound character appeared!Chapter 1312
calibre_link-330|Chapter 1316: A Sword Across the Star Sea
calibre_link-331|Chapter 1317: True Immortal Power Attracts Enemies
calibre_link-332|Chapter 1318: Transaction Under the High Wall
calibre_link-333|Chapter 1319: The Shortcut to Proving the Way
calibre_link-334|The exchange was over, but the competition between Li Fan and the Immortal Boat was far from over.Chapter 1319
calibre_link-335|Chapter 1320: Shock of Creation
calibre_link-336|Chapter 1321: Legal Transmission is Accused of Being a Mystery
calibre_link-337|Chapter 1322: Divine Tree Hides Immortal Script
calibre_link-338|At this moment, Li Fan suddenly heard Zhong Daogong say this.Chapter 1322
calibre_link-339|Chapter 1323: Reversing Entropy Returns to Youth
calibre_link-340|Chapter 1324: Blood Sees True Immortal Memory
calibre_link-341|With safety assured, Li Fan did his best to maintain the Innate Grandmaster Technique, simultaneously focusing his attention on the True Immortal blood that resembled a fiery wall. Under the impact of countless divine senses, its defenses seemed to show faint cracks. The stalemate continued for an unknown duration. Finally, Li Fan broke through the defenses of the True Immortal blood. The backlash vanished out of thin air, and his soul instantly felt clear and cool. A beam of light emerged from the True Immortal blood, enveloping Li Fan's divine sense. Afterward, a segment of light and shadow appeared before him. It was as if it were covered in mist, and all surrounding scenes were indistinct. An enraged voice was heard from a distant, towering figure. It was sporadic, and only the general meaning could be understood: "...Qionglang Star Domain... Yan... guarding..." "...Target found..." "Your subject obeys the order." A low voice emanated from his own body. The light and shadow shifted again. In the next moment, he was already within the Xuanhuang Realm. Standing high above, overlooking the myriad sentient beings within the realm. However, his body's attention seemed not to be on the Xuanhuang Realm below, but rather on the outside of the starry sky. He appeared to be waiting for something. After an unknown amount of time, a beam of light suddenly arrived from beyond the heavens. His gaze immediately locked onto it. But he did not interfere, allowing the beam of light to fall into the Xuanhuang Realm. Only when the light completely dimmed and settled did his figure descend to the mortal world to investigate specifically. "Not yet." "But it's not bad. If it were years ago, ascension would have been possible. What a pity..." The figure seemed accustomed to this outcome, shaking his head with neither joy nor sorrow, and then returned to the Xuanhuang Realm's celestial dome. Silently watching, waiting for the arrival of the next target... The scene abruptly froze, then rapidly faded and dissipated like a vintage photograph. Li Fan jolted back to reality, returning to the present. Although the memories experienced within the True Immortal blood were fleeting, Li Fan felt as if he had lived through dozens of lifetimes. This longevity was also reflected in his physical body. His long hair, which had been flowing freely, had now grown to his waist, interspersed with white strands. His face, palms, and even the skin all over his body had become somewhat wrinkled. Li Fan looked at his age on the Return to Reality panel. His mental age had not changed, but his physiological lifespan limit had been directly reduced to 50 years. He was still thirty years old in spirit, yet his life was nearing its end. "Is this the price of prying into True Immortals?" After attempting to use the Xuanhuang Realm's celestial treasures that increased lifespan and confirming they could not increase this reduced lifespan limit, Li Fan's heart filled with dread. "If it were an ordinary cultivator, they would surely be driven to a desperate situation by this." "Fortunately, I have [Return to Reality]. A 50-year lifespan limit makes little difference to me." "There are still 20 years left in this life, which is enough to complete my plans." Li Fan's mood calmed down, and he couldn't help but recall the scenes he had seen within the True Immortal blood earlier. "The True Immortal who owned this blood should have been ordered to come to Xuanhuang to find a certain target..." "The word 'subject' is quite interesting." "Moreover, that beam of light from beyond the heavens..." Li Fan narrowed his eyes. Combining the information from the ancient immortal formations in the Xuanhuang Realm and the clues obtained from outside the high wall, a guess emerged in Li Fan's mind: "The ancient Xuanhuang Realm was also 'capturing' things." "Unlike the later capture of other cultivation worlds, the target at that time was... 'Humans'?" Li Fan's eyes flickered. "But it's not bad. If it were years ago, ascension would have been possible..." Li Fan repeated the True Immortal's words several times. "The 'light from beyond the heavens' that had the 'potential for ascension' was not the target that True Immortal was waiting for. What exactly is it..." Suddenly, Li Fan, for some unknown reason, began to associate himself with it. Although the True Immortal's memories were vague and from countless years ago, Li Fan inexplicably felt a sense of having narrowly escaped a catastrophe. When he came to his senses, his back was already drenched in cold sweat. This was not due to Li Fan's timidity, but rather a primal fear and relief after realizing the situation in hindsight. "This..." His rapidly beating heart slowly calmed down. Li Fan temporarily left the underground space of the Dao Discussion Platform and flickered back to the sky above the Great Profound Minor World. Boundless clouds obscured the sight of the living beings on the ground. Li Fan savored the premonition he had just experienced. "Although it's hard to believe..." "But a premonition from the depths of my being tells me that years ago, the True Immortal's target in Xuanhuang might actually have been me?!" "Or rather, not me, but [Return to Reality]!" Li Fan closed his eyes, preventing his inner turmoil and shock from being exposed. "[Return to Reality], [Return to Reality]..." As he spoke, the surrounding scenery became illusory and ethereal again. Being isolated from the real world gave Li Fan a slight sense of peace. "[Return to Reality] involves the Great Dao of [True and False] and [Illusion and Reality]." "Wondrous artifacts of heaven and earth, True Immortal script characters, and even the mysterious symbol that created the Xuanhuang Great Heavenly Venerate's bloodline, are all partial projections of the Great Dao." "But only [Return to Reality] stands above all else." "It can be said to be almost the embodiment of the Great Dao of [True and False] and [Illusion and Reality] itself..." Li Fan's thoughts churned as he calmly contemplated. "The fact that the True Immortal called himself 'subject' suggests that the towering figure in the memory must have an extraordinary status." "Qionglang Star Domain... Yan..." Li Fan attempted to deduce the possible truth of the matter from the fragmented information. "It appears the Immortal Realm was already facing a crisis at that time." "Yan..." "With the power of a True Immortal, perhaps they could deduce a solution to the Immortal Realm's crisis, which was [Return to Reality]." "That's why they were 'lying in wait' in the Xuanhuang Realm?" "However, for some reason, I arrived here tens of thousands of years too late." ... After breaking free from the True Immortal's memories for a long time, the lingering sense of narrowly escaping death in Li Fan's heart eventually dissipated. With his emotions calmed, Li Fan re-examined his earlier speculation and found it almost absurdly laughable. "What is the truth?" Li Fan, his mood having calmed, flickered from the sky back to the underground. He looked at the remaining True Immortal blood in the golden net, pondering for a long time. "I cannot pry into it further in this life." "I will see in the next life if I can find more clues." "Even if my guess is confirmed, it doesn't matter. After all, the Immortal Realm faced a great calamity, and those True Immortals who wanted to 'hunt' me have already disappeared first!" A glint flashed in Li Fan's eyes, and his state of mind became steady once more. Although he could not further pry into the memories from the True Immortal blood in this life, it did not prevent Li Fan from continuing his research on the True Immortal flesh. "Next, let me see how the True Immortal flesh resists the power of True Immortal script characters." With his Origin Force Essence surgical knife, he cut off a small piece of flesh. Then, golden light continuously rotated, transforming into a grinder, crushing this small piece of flesh.Chapter 1324
calibre_link-342|Chapter 1325: The Beginning of Creating Immortals
calibre_link-343|Chapter 1326: Seeing the High Wall While Pretending to be Mad
calibre_link-344|Chapter 1327: Ascending to the Jade Immortal's Shadow
calibre_link-345|Chapter 1328: Dark Peaks Gather
calibre_link-346|Chapter 1329: Finger Falls, Destroying the Firmament
calibre_link-347|Chapter 1330: Immortals Fall, All Things Vanish
calibre_link-348|Chapter 1331: Sunken Land of the Utmost Darkness
calibre_link-349|Chapter 1332: Again Poisoning Mo Ruibin
calibre_link-350|Chapter 1333: The Heavenly King's Mysterious Disappearance
calibre_link-351|Chapter 1334: True Immortal You Resuscitates
calibre_link-352|Chapter 1335: The Calamity of the Immortal Realm's Dissipation
calibre_link-353|Chapter 1336: The Predecessor of Gu Ming Dao
calibre_link-354|Chapter 1337: Tai Jia Realm Divine Ability
calibre_link-355|Chapter 1338: Ten Thousand Years of Favorability
calibre_link-356|Chapter 1339: Affairs of Xuanshang in Those Years
